id,parent_id,child_number_of_records,code,name,kana,nickname,update_at,update_user
67,19,3,ORG-0067,課4-係3,カ4カカ3,K4K3,2024-04-01,system
68,20,3,ORG-0068,課5-係1,カ5カカ1,K5K1,2024-04-01,system
69,20,3,ORG-0069,課5-係2,カ5カカ2,K5K2,2024-04-01,system
70,20,3,ORG-0070,課5-係3,カ5カカ3,K5K3,2024-04-01,system
71,21,3,ORG-0071,課1-係1,カ1カカ1,K1K1,2024-04-01,system
72,21,3,ORG-0072,課1-係2,カ1カカ2,K1K2,2024-04-01,system
73,21,3,ORG-0073,課1-係3,カ1カカ3,K1K3,2024-04-01,system
74,22,3,ORG-0074,課2-係1,カ2カカ1,K2K1,2024-04-01,system
75,22,3,ORG-0075,課2-係2,カ2カカ2,K2K2,2024-04-01,system
76,22,3,ORG-0076,課2-係3,カ2カカ3,K2K3,2024-04-01,system
77,23,3,ORG-0077,課3-係1,カ3カカ1,K3K1,2024-04-01,system
78,23,3,ORG-0078,課3-係2,カ3カカ2,K3K2,2024-04-01,system
79,23,3,ORG-0079,課3-係3,カ3カカ3,K3K3,2024-04-01,system
80,24,3,ORG-0080,課4-係1,カ4カカ1,K4K1,2024-04-01,system
81,24,3,ORG-0081,課4-係2,カ4カカ2,K4K2,2024-04-01,system
82,24,3,ORG-0082,課4-係3,カ4カカ3,K4K3,2024-04-01,system
83,25,3,ORG-0083,課5-係1,カ5カカ1,K5K1,2024-04-01,system
84,25,3,ORG-0084,課5-係2,カ5カカ2,K5K2,2024-04-01,system
85,25,3,ORG-0085,課5-係3,カ5カカ3,K5K3,2024-04-01,system
86,26,0,ORG-0086,係1-チーム1,カ1チ1,T1,2024-04-01,system
87,26,0,ORG-0087,係1-チーム2,カ1チ2,T2,2024-04-01,system
88,26,0,ORG-0088,係1-チーム3,カ1チ3,T3,2024-04-01,system
89,27,0,ORG-0089,係2-チーム1,カ2チ1,T1,2024-04-01,system
90,27,0,ORG-0090,係2-チーム2,カ2チ2,T2,2024-04-01,system
91,27,0,ORG-0091,係2-チーム3,カ2チ3,T3,2024-04-01,system
92,28,0,ORG-0092,係3-チーム1,カ3チ1,T1,2024-04-01,system
93,28,0,ORG-0093,係3-チーム2,カ3チ2,T2,2024-04-01,system
94,28,0,ORG-0094,係3-チーム3,カ3チ3,T3,2024-04-01,system
95,29,0,ORG-0095,係1-チーム1,カ1チ1,T1,2024-04-01,system
96,29,0,ORG-0096,係1-チーム2,カ1チ2,T2,2024-04-01,system
97,29,0,ORG-0097,係1-チーム3,カ1チ3,T3,2024-04-01,system
98,30,0,ORG-0098,係2-チーム1,カ2チ1,T1,2024-04-01,system
99,30,0,ORG-0099,係2-チーム2,カ2チ2,T2,2024-04-01,system
100,30,0,ORG-0100,係2-チーム3,カ2チ3,T3,2024-04-01,system
